t,x,v
18.700000, -2.543022, -0.389239
18.800000, -2.581946, 0.034235
18.900000, -2.578522, 0.241202
19.000000, -2.554402, 0.347026
19.100000, -2.519699, 0.404046
19.200000, -2.479295, 0.437395
19.300000, -2.435555, 0.459531
19.400000, -2.389602, 0.476680
19.500000, -2.341934, 0.491951
19.600000, -2.292739, 0.506920
19.700000, -2.242047, 0.522422
19.800000, -2.189805, 0.538952
19.900000, -2.135910, 0.556865
20.000000, -2.080223, 0.576474
20.100000, -2.022576, 0.598108
20.200000, -1.962765, 0.622143
20.300000, -1.900551, 0.649037
20.400000, -1.835647, 0.679358
20.500000, -1.767711, 0.713823
20.600000, -1.696329, 0.753353
20.700000, -1.620994, 0.799145
20.800000, -1.541079, 0.852777
20.900000, -1.455801, 0.916356
21.000000, -1.364166, 0.992742
21.100000, -1.264892, 1.085863
21.200000, -1.156305, 1.201188
21.300000, -1.036186, 1.346414
21.400000, -0.901545, 1.532429
21.500000, -0.748302, 1.774567
21.600000, -0.570846, 2.093863
21.700000, -0.361459, 2.517069
21.800000, -0.109752, 3.071334
21.900000, 0.197381, 3.762276
22.000000, 0.573609, 4.511643
22.100000, 1.024773, 5.035285
22.200000, 1.528301, 4.781098
22.300000, 2.006411, 3.409638
22.400000, 2.347375, 1.690762
22.500000, 2.516451, 0.595760
22.600000, 2.576027, 0.064288
22.700000, 2.582456, -0.192176
22.800000, 2.563238, -0.321497
22.900000, 2.531089, -0.389932
23.000000, 2.492096, -0.428790
23.100000, 2.449217, -0.453491
23.200000, 2.403867, -0.471733
23.300000, 2.356694, -0.487361
23.400000, 2.307958, -0.502310
23.500000, 2.257727, -0.517586
23.600000, 2.205969, -0.533760
23.700000, 2.152593, -0.551216
23.800000, 2.097471, -0.570272
23.900000, 2.040444, -0.591248
24.000000, 1.981319, -0.614504
24.100000, 1.919869, -0.640469
24.200000, 1.855822, -0.669672
24.300000, 1.788854, -0.702781
24.400000, 1.718576, -0.740648
24.500000, 1.644512, -0.784375
24.600000, 1.566074, -0.835411
24.700000, 1.482533, -0.895682
24.800000, 1.392965, -0.967787
24.900000, 1.296186, -1.055286
25.000000, 1.190657, -1.163115
25.100000, 1.074346, -1.298200
25.200000, 0.944526, -1.470332
25.300000, 0.797493, -1.693338
25.400000, 0.628159, -1.986406
25.500000, 0.429518, -2.374726
25.600000, 0.192046, -2.886547
25.700000, -0.096609, -3.538223
25.800000, -0.450431, -4.287477
25.900000, -0.879179, -4.928214
26.000000, -1.372000, -4.977251
26.100000, -1.869725, -3.926200
26.200000, -2.262345, -2.174883
26.300000, -2.479834, -0.855131
26.400000, -2.565347, -0.187383
26.500000, -2.584085, 0.131769
26.600000, -2.570908, 0.290488
26.700000, -2.541859, 0.373151
26.800000, -2.504544, 0.418909
26.900000, -2.462653, 0.446870
27.000000, -2.417966, 0.466553
27.100000, -2.371311, 0.482713
27.200000, -2.323040, 0.497733
27.300000, -2.273266, 0.512834
27.400000, -2.221983, 0.528687
27.500000, -2.169114, 0.545715
27.600000, -2.114543, 0.564249
27.700000, -2.058118, 0.584601
27.800000, -1.999658, 0.607117
27.900000, -1.938946, 0.632201
28.000000, -1.875726, 0.660349
28.100000, -1.809691, 0.692182
28.200000, -1.740473, 0.728488
28.300000, -1.667624, 0.770285
28.400000, -1.590596, 0.818904
28.500000, -1.508705, 0.876107
28.600000, -1.421094, 0.944261
28.700000, -1.326668, 1.026597
28.800000, -1.224009, 1.127572
28.900000, -1.111252, 1.253424
29.000000, -0.985909, 1.412956
29.100000, -0.844613, 1.618620
29.200000, -0.682752, 1.887832
29.300000, -0.493968, 2.243997
29.400000, -0.269569, 2.715200
29.500000, 0.001951, 3.324390
29.600000, 0.334390, 4.055324
29.700000, 0.739923, 4.766862
29.800000, 1.216609, 5.063118
29.900000, 1.722921, 4.368625
30.000000, 2.159783, 2.710534
