t,x,v
0.000000, 1.000000, 0.000000
0.100000, 1.000000, -0.200000
0.200000, 0.980000, -0.400000
0.300000, 0.940000, -0.599957
0.400000, 0.880004, -0.804275
0.500000, 0.799577, -1.021352
0.600000, 0.697442, -1.263368
0.700000, 0.571105, -1.546452
0.800000, 0.416460, -1.890825
0.900000, 0.227377, -2.319414
1.000000, -0.004564, -2.850818
1.100000, -0.289646, -3.476980
1.200000, -0.637344, -4.109160
1.300000, -1.048260, -4.491097
1.400000, -1.497370, -4.195607
1.500000, -1.916930, -3.020509
1.600000, -2.218981, -1.556070
1.700000, -2.374588, -0.544419
1.800000, -2.429030, -0.019012
1.900000, -2.430931, 0.238242
2.000000, -2.407107, 0.366657
2.100000, -2.370442, 0.434259
2.200000, -2.327016, 0.473498
2.300000, -2.279666, 0.499917
2.400000, -2.229674, 0.520991
2.500000, -2.177575, 0.540353
2.600000, -2.123540, 0.559837
2.700000, -2.067556, 0.580455
2.800000, -2.009511, 0.602876
2.900000, -1.949223, 0.627645
3.000000, -1.886458, 0.655317
3.100000, -1.820927, 0.686523
3.200000, -1.752275, 0.722039
3.300000, -1.680071, 0.762847
3.400000, -1.603786, 0.810223
3.500000, -1.522764, 0.865849
3.600000, -1.436179, 0.931977
3.700000, -1.342981, 1.011672
3.800000, -1.241814, 1.109155
3.900000, -1.130898, 1.230318
4.000000, -1.007867, 1.383468
4.100000, -0.869520, 1.580360
4.200000, -0.711484, 1.837488
4.300000, -0.527735, 2.177238
4.400000, -0.310011, 2.627242
4.500000, -0.047287, 3.212728
4.600000, 0.273986, 3.928205
4.700000, 0.666806, 4.662215
4.800000, 1.133028, 5.068058
4.900000, 1.639833, 4.568430
5.000000, 2.096676, 3.013259
5.100000, 2.398002, 1.384744
5.200000, 2.536477, 0.442327
5.300000, 2.580709, -0.008818
5.400000, 2.579828, -0.228488
5.500000, 2.556979, -0.340368
5.600000, 2.522942, -0.400333
5.700000, 2.482909, -0.435099
5.800000, 2.439399, -0.457892
5.900000, 2.393610, -0.475315
6.000000, 2.346078, -0.490670
6.100000, 2.297011, -0.505626
6.200000, 2.246448, -0.521060
6.300000, 2.194342, -0.537487
6.400000, 2.140594, -0.555269
6.500000, 2.085067, -0.574721
6.600000, 2.027595, -0.596167
6.700000, 1.967978, -0.619980
6.800000, 1.905980, -0.646608
6.900000, 1.841319, -0.676610
7.000000, 1.773658, -0.710687
7.100000, 1.702590, -0.749741
7.200000, 1.627615, -0.794941
7.300000, 1.548121, -0.847828
7.400000, 1.463339, -0.910456
7.500000, 1.372293, -0.985609
7.600000, 1.273732, -1.077108
7.700000, 1.166021, -1.190267
7.800000, 1.046994, -1.332559
7.900000, 0.913738, -1.514552
8.000000, 0.762283, -1.751147
8.100000, 0.587169, -2.062857
8.200000, 0.380883, -2.476028
8.300000, 0.133280, -3.018278
8.400000, -0.168548, -3.698724
8.500000, -0.538420, -4.450301
8.600000, -0.983450, -5.011886
8.700000, -1.484639, -4.847562
8.800000, -1.969395, -3.559526
8.900000, -2.325348, -1.819669
9.000000, -2.507315, -0.662520
9.100000, -2.573566, -0.095990
9.200000, -2.583166, 0.176537
9.300000, -2.565512, 0.313427
9.400000, -2.534169, 0.385532
9.500000, -2.495616, 0.426167
9.600000, -2.452999, 0.451704
9.700000, -2.407829, 0.470310
9.800000, -2.360798, 0.486068
9.900000, -2.312191, 0.501027
10.000000, -2.262088, 0.516249
10.100000, -2.210464, 0.532329
10.200000, -2.157231, 0.549662
10.300000, -2.102264, 0.568569
10.400000, -2.045407, 0.589368
10.500000, -1.986471, 0.612413
10.600000, -1.925229, 0.638126
10.700000, -1.861417, 0.667028
10.800000, -1.794714, 0.699772
10.900000, -1.724737, 0.737193
11.000000, -1.651017, 0.780367
11.100000, -1.572981, 0.830709
11.200000, -1.489910, 0.890098
11.300000, -1.400900, 0.961067
11.400000, -1.304793, 1.047077
11.500000, -1.200086, 1.152927
11.600000, -1.084793, 1.285342
11.700000, -0.956259, 1.453825
11.800000, -0.810876, 1.671806
11.900000, -0.643696, 1.957970
12.000000, -0.447899, 2.337019
12.100000, -0.214197, 2.837264
12.200000, 0.069530, 3.477266
