t,x,v
12.300000, 0.417256, 4.222942
12.400000, 0.839550, 4.887752
12.500000, 1.328326, 5.011931
12.600000, 1.829519, 4.058879
12.700000, 2.235407, 2.320720
12.800000, 2.467479, 0.938668
12.900000, 2.561345, 0.227098
13.000000, 2.584055, -0.112446
13.100000, 2.572811, -0.280655
13.200000, 2.544745, -0.367892
13.300000, 2.507956, -0.415874
13.400000, 2.466369, -0.444893
13.500000, 2.421879, -0.465052
13.600000, 2.375374, -0.481397
13.700000, 2.327234, -0.496456
13.800000, 2.277589, -0.511519
13.900000, 2.226437, -0.527288
14.000000, 2.173708, -0.544202
14.100000, 2.119288, -0.562594
14.200000, 2.063029, -0.582778
14.300000, 2.004751, -0.605094
14.400000, 1.944241, -0.629940
14.500000, 1.881247, -0.657803
14.600000, 1.815467, -0.689292
14.700000, 1.746538, -0.725179
14.800000, 1.674020, -0.766459
14.900000, 1.597374, -0.814431
15.000000, 1.515931, -0.870816
15.100000, 1.428849, -0.937920
15.200000, 1.335057, -1.018887
15.300000, 1.233169, -1.118050
15.400000, 1.121364, -1.241470
15.500000, 0.997217, -1.397689
15.600000, 0.857448, -1.598798
15.700000, 0.697568, -1.861737
15.800000, 0.511394, -2.209391
15.900000, 0.290455, -2.669637
16.000000, 0.023492, -3.266693
16.100000, -0.303178, -3.990101
16.200000, -0.702188, -4.714434
16.300000, -1.173631, -5.069087
16.400000, -1.680540, -4.475035
16.500000, -2.128044, -2.865392
16.600000, -2.414583, -1.281344
16.700000, -2.542717, -0.391753
16.800000, -2.581892, 0.033030
16.900000, -2.578590, 0.240598
17.000000, -2.554530, 0.346709
17.100000, -2.519859, 0.403869
17.200000, -2.479472, 0.437285
17.300000, -2.435743, 0.459452
17.400000, -2.389798, 0.476613
17.500000, -2.342137, 0.491888
17.600000, -2.292948, 0.506857
17.700000, -2.242262, 0.522355
17.800000, -2.190027, 0.538881
17.900000, -2.136139, 0.556787
18.000000, -2.080460, 0.576388
18.100000, -2.022821, 0.598012
18.200000, -1.963020, 0.622037
18.300000, -1.900816, 0.648918
18.400000, -1.835925, 0.679223
18.500000, -1.768002, 0.713669
18.600000, -1.696635, 0.753176
18.700000, -1.621318, 0.798938
18.800000, -1.541424, 0.852533
18.900000, -1.456171, 0.916066
19.000000, -1.364564, 0.992391
19.100000, -1.265325, 1.085432
19.200000, -1.156782, 1.200650
19.300000, -1.036717, 1.345730
19.400000, -0.902144, 1.531546
19.500000, -0.748989, 1.773410
19.600000, -0.571648, 2.092331
19.700000, -0.362415, 2.515042
19.800000, -0.110911, 3.068718
19.900000, 0.195961, 3.759158
20.000000, 0.571877, 4.508678
20.100000, 1.022745, 5.034272
20.200000, 1.526172, 4.784555
20.300000, 2.004627, 3.417031
20.400000, 2.346330, 1.696931
20.500000, 2.516024, 0.598923
20.600000, 2.575916, 0.065791
20.700000, 2.582495, -0.191433
20.800000, 2.563352, -0.321113
20.900000, 2.531240, -0.389722
21.000000, 2.492268, -0.428664
21.100000, 2.449402, -0.453405
21.200000, 2.404061, -0.471664
21.300000, 2.356895, -0.487298
21.400000, 2.308165, -0.502247
21.500000, 2.257940, -0.517520
21.600000, 2.206188, -0.533690
21.700000, 2.152819, -0.551140
21.800000, 2.097705, -0.570189
21.900000, 2.040687, -0.591156
22.000000, 1.981571, -0.614401
22.100000, 1.920131, -0.640354
22.200000, 1.856095, -0.669542
22.300000, 1.789141, -0.702633
22.400000, 1.718878, -0.740478
22.500000, 1.644830, -0.784178
22.600000, 1.566412, -0.835180
22.700000, 1.482894, -0.895407
22.800000, 1.393354, -0.967456
22.900000, 1.296608, -1.054882
23.000000, 1.191120, -1.162613
23.100000, 1.074858, -1.297566
23.200000, 0.945102, -1.469517
23.300000, 0.798150, -1.692274
23.400000, 0.628923, -1.985001
23.500000, 0.430423, -2.372863
23.600000, 0.193136, -2.884115
23.700000, -0.095275, -3.535227
23.800000, -0.448798, -4.284338
23.900000, -0.877232, -4.926333
24.000000, -1.369865, -4.979145
24.100000, -1.867779, -3.932823
24.200000, -2.261062, -2.181915
24.300000, -2.479253, -0.859093
24.400000, -2.565163, -0.189265
24.500000, -2.584089, 0.130851
24.600000, -2.571004, 0.290021
24.700000, -2.542002, 0.372900
24.800000, -2.504712, 0.418764
24.900000, -2.462835, 0.446775
25.000000, -2.418158, 0.466480
25.100000, -2.371510, 0.482649
25.200000, -2.323245, 0.497671
25.300000, -2.273478, 0.512770
25.400000, -2.222201, 0.528619
25.500000, -2.169339, 0.545641
25.600000, -2.114775, 0.564168
25.700000, -2.058358, 0.584512
25.800000, -1.999907, 0.607018
25.900000, -1.939205, 0.632090
26.000000, -1.875996, 0.660224
26.100000, -1.809974, 0.692040
26.200000, -1.740770, 0.728325
26.300000, -1.667937, 0.770097
26.400000, -1.590927, 0.818684
26.500000, -1.509059, 0.875846
26.600000, -1.421474, 0.943949
26.700000, -1.327079, 1.026217
26.800000, -1.224458, 1.127102
26.900000, -1.111748, 1.252835
27.000000, -0.986464, 1.412203
27.100000, -0.845244, 1.617641
27.200000, -0.683480, 1.886543
27.300000, -0.494825, 2.242287
27.400000, -0.270597, 2.712950
27.500000, 0.000698, 3.321550
27.600000, 0.332853, 4.052136
27.700000, 0.738067, 4.764365
27.800000, 1.214504, 5.063583
27.900000, 1.720862, 4.374012
28.000000, 2.158263, 2.718070
28.100000, 2.430070, 1.183174
28.200000, 2.548387, 0.344187
28.300000, 2.582806, -0.055871
28.400000, 2.577219, -0.252064
28.500000, 2.552013, -0.352738
28.600000, 2.516739, -0.407253
28.700000, 2.476013, -0.439398
28.800000, 2.432074, -0.460981
28.900000, 2.385976, -0.477900
29.000000, 2.338186, -0.493105
29.100000, 2.288875, -0.508091
29.200000, 2.238066, -0.523658
29.300000, 2.185700, -0.540283
29.400000, 2.131672, -0.558316
29.500000, 2.075840, -0.578070
29.600000, 2.018033, -0.599874
29.700000, 1.958046, -0.624113
29.800000, 1.895634, -0.651250
29.900000, 1.830509, -0.681863
30.000000, 1.762323, -0.716684
