n, trapezoidal, midpoint, simpson
1, 0.683940, 0.778801, 0.747180
2, 0.731370, 0.754598, 0.746855
3, 0.739986, 0.750252, 0.746830
4, 0.742984, 0.748747, 0.746826
5, 0.744368, 0.748053, 0.746825
6, 0.745119, 0.747677, 0.746825
7, 0.745572, 0.747451, 0.746824
8, 0.745866, 0.747304, 0.746824
9, 0.746067, 0.747203, 0.746824
10, 0.746211, 0.747131, 0.746824
11, 0.746317, 0.747078, 0.746824
12, 0.746398, 0.747037, 0.746824
13, 0.746461, 0.747006, 0.746824
14, 0.746511, 0.746981, 0.746824
15, 0.746552, 0.746960, 0.746824
16, 0.746585, 0.746944, 0.746824
17, 0.746612, 0.746930, 0.746824
18, 0.746635, 0.746919, 0.746824
19, 0.746654, 0.746909, 0.746824
20, 0.746671, 0.746901, 0.746824
